Actual,Predicted
3.39,3.401615
3.38,3.401615
3.91,3.401615
3.05,3.401615
3.06,3.401615
3.48,3.401615
3.5,3.401615
2.56,3.401615
3.75,3.401615
3.13,3.401615
3.23,3.401615
3.56,3.401615
3.81,3.401615
3.4,3.401615
2.26,3.401615
2.86,3.401615
3.17,3.401615
3.22,3.401615
3.34,3.401615
3.13,3.401615
3.4,3.401615
3.88,3.401615
2.85,3.401615
3.28,3.401615
3.53,3.401615
3.41,3.401615
3.37,3.401615
2.28,3.401615
2.79,3.401615
2.88,3.401615
3.46,3.401615
3.44,3.401615
3.37,3.401615
2.84,3.401615
2.64,3.401615
3.14,3.401615
3.32,3.401615
3.33,3.401615
3.65,3.401615
3.84,3.401615
3.39,3.401615
3.9,3.401615
3.28,3.401615
3.33,3.401615
3.77,3.401615
3.06,3.401615
3.46,3.401615
2.82,3.401615
3.97,3.401615
3.68,3.401615
3.09,3.401615
3.37,3.401615
2.74,3.401615
3.44,3.401615
2.67,3.401615
2.88,3.401615
2.72,3.401615
3.87,3.401615
3.33,3.401615
3.92,3.401615
3.26,3.401615
3.33,3.401615
3.49,3.401615
2.72,3.401615
3.39,3.401615
3.88,3.401615
3.23,3.401615
3.91,3.401615
3.55,3.401615
3.02,3.401615
3.97,3.401615
3.26,3.401615
2.85,3.401615
3.95,3.401615
3.35,3.401615
3.47,3.401615
3.08,3.401615
3.74,3.401615
3.78,3.401615
3.69,3.401615
3.89,3.401615
3.51,3.401615
3.73,3.401615
3.01,3.401615
2.92,3.401615
3.25,3.401615
3.47,3.401615
3.66,3.401615
3.17,3.401615
3.17,3.401615
2.87,3.401615
3.26,3.401615
3.96,3.401615
3.86,3.401615
3.24,3.401615
3.5,3.401615
3.87,3.401615
2.83,3.401615
3.28,3.401615
3.61,3.401615
3.46,3.401615
3.6,3.401615
3.32,3.401615
2.86,3.401615
3.87,3.401615
3.14,3.401615
3.57,3.401615
3.27,3.401615
3.04,3.401615
2.89,3.401615
3.22,3.401615
3.67,3.401615
3.52,3.401615
2.88,3.401615
3.36,3.401615
3.08,3.401615
2.72,3.401615
2.52,3.401615
3.37,3.401615
3.69,3.401615
3.39,3.401615
3.1,3.401615
3.67,3.401615
3.92,3.401615
3.79,3.401615
3.78,3.401615
2.72,3.401615
3.6,3.401615
3.72,3.401615
2.49,3.401615
3.7,3.401615
3.32,3.401615
3.84,3.401615
2.95,3.401615
3.8,3.401615
3.33,3.401615
3.33,3.401615
3.71,3.401615
3.12,3.401615
3.44,3.401615
3.44,3.401615
2.93,3.401615
2.7,3.401615
3.88,3.401615
2.9,3.401615
3.01,3.401615
3.83,3.401615
3.95,3.401615
2.73,3.401615
2.7,3.401615
2.64,3.401615
3.82,3.401615
3.65,3.401615
2.99,3.401615
3.14,3.401615
3.7,3.401615
3.46,3.401615
3.55,3.401615
3.45,3.401615
3.49,3.401615
3.39,3.401615
3.24,3.401615
3.07,3.401615
3.74,3.401615
3.34,3.401615
3.64,3.401615
3.13,3.401615
3.59,3.401615
3.43,3.401615
3.15,3.401615
3.43,3.401615
2.82,3.401615
3.26,3.401615
3.04,3.401615
3.84,3.401615
3.25,3.401615
3.85,3.401615
3.43,3.401615
3.81,3.401615
3.75,3.401615
3.39,3.401615
3.5,3.401615
3.2,3.401615
3.2,3.401615
3.47,3.401615
3.98,3.401615
3.5,3.401615
2.89,3.401615
3.8,3.401615
3.31,3.401615
3.6,3.401615
2.8,3.401615
3.02,3.401615
2.2,3.401615
3.47,3.401615
3.95,3.401615
3.46,3.401615
3.53,3.401615
3.38,3.401615
3.95,3.401615
3.92,3.401615
3.92,3.401615
3.65,3.401615
3.26,3.401615
3.2,3.401615
3.96,3.401615
3.12,3.401615
3.35,3.401615
3.85,3.401615
2.56,3.401615
3.25,3.401615
3.56,3.401615
3.55,3.401615
3.63,3.401615
3.53,3.401615
3.51,3.401615
3.2,3.401615
3.27,3.401615
3.22,3.401615
3.55,3.401615
2.52,3.401615
3.66,3.401615
2.75,3.401615
3.75,3.401615
3.69,3.401615
3.17,3.401615
2.23,3.401615
3.48,3.401615
2.85,3.401615
3.37,3.401615
3.43,3.401615
3.75,3.401615
3.38,3.401615
2.81,3.401615
3.95,3.401615
2.82,3.401615
3.04,3.401615
3.73,3.401615
3.21,3.401615
2.35,3.401615
3.95,3.401615
3.86,3.401615
3.13,3.401615
2.6,3.401615
3.41,3.401615
3.56,3.401615
3.79,3.401615
3.43,3.401615
3.28,3.401615
3.04,3.401615
3.53,3.401615
3.17,3.401615
3.24,3.401615
2.94,3.401615
3.91,3.401615
3.68,3.401615
3.9,3.401615
3.4,3.401615
3.26,3.401615
3.21,3.401615
3.42,3.401615
3.7,3.401615
3.46,3.401615
3.84,3.401615
3.32,3.401615
3.09,3.401615
3.1,3.401615
3.55,3.401615
3.61,3.401615
3.71,3.401615
3.67,3.401615
3.48,3.401615
3.67,3.401615
3.83,3.401615
3.7,3.401615
3.58,3.401615
2.74,3.401615
2.41,3.401615
3.47,3.401615
3.98,3.401615
3.69,3.401615
2.98,3.401615
3.4,3.401615
3.32,3.401615
2.75,3.401615
3.85,3.401615
3.83,3.401615
3.77,3.401615
2.72,3.401615
3.89,3.401615
3.75,3.401615
2.2,3.401615
2.98,3.401615
3.85,3.401615
3.8,3.401615
3.11,3.401615
3.35,3.401615
3.24,3.401615
3.52,3.401615
3.39,3.401615
2.97,3.401615
3.06,3.401615
3.32,3.401615
3.75,3.401615
3.56,3.401615
3.29,3.401615
3.81,3.401615
2.31,3.401615
3.67,3.401615
3.12,3.401615
2.88,3.401615
3.65,3.401615
3.29,3.401615
3.13,3.401615
3.89,3.401615
3.75,3.401615
3.3,3.401615
3.54,3.401615
2.79,3.401615
3.61,3.401615
3.74,3.401615
3.45,3.401615
3.32,3.401615
3.24,3.401615
3.12,3.401615
3.87,3.401615
3.18,3.401615
3.18,3.401615
3.66,3.401615
3.25,3.401615
3.23,3.401615
3.07,3.401615
3.28,3.401615
3.5,3.401615
3.6,3.401615
2.41,3.401615
3.52,3.401615
3.15,3.401615
3.26,3.401615
3.11,3.401615
3.75,3.401615
3.91,3.401615
2.49,3.401615
3.16,3.401615
2.61,3.401615
2.99,3.401615
3.09,3.401615
2.98,3.401615
3.55,3.401615
3.29,3.401615
3.58,3.401615
3.25,3.401615
2.56,3.401615
3.6,3.401615
3.27,3.401615
3.38,3.401615
3.16,3.401615
3.76,3.401615
3.78,3.401615
3.16,3.401615
2.98,3.401615
3.77,3.401615
3.51,3.401615
3.65,3.401615
3.37,3.401615
3.67,3.401615
3.77,3.401615
3.12,3.401615
2.85,3.401615
3.65,3.401615
3.91,3.401615
3.59,3.401615
3.03,3.401615
3.64,3.401615
3.56,3.401615
3.66,3.401615
3.69,3.401615
3.83,3.401615
3.17,3.401615
3.52,3.401615
2.3,3.401615
3.45,3.401615
3.15,3.401615
3.98,3.401615
2.5,3.401615
3.65,3.401615
3.24,3.401615
3.05,3.401615
3.62,3.401615
3.1,3.401615
3.8,3.401615
2.76,3.401615
3.73,3.401615
2.95,3.401615
3.5,3.401615
3.05,3.401615
3.87,3.401615
3.59,3.401615
3.06,3.401615
3.73,3.401615
3.08,3.401615
3.58,3.401615
3.0,3.401615
3.58,3.401615
3.03,3.401615
3.35,3.401615
2.68,3.401615
3.94,3.401615
3.92,3.401615
3.83,3.401615
3.52,3.401615
3.75,3.401615
3.87,3.401615
3.49,3.401615
2.87,3.401615
3.38,3.401615
3.25,3.401615
3.78,3.401615
3.41,3.401615
3.85,3.401615
3.79,3.401615
3.34,3.401615
3.58,3.401615
3.23,3.401615
2.9,3.401615
3.39,3.401615
3.49,3.401615
3.25,3.401615
3.85,3.401615
3.7,3.401615
3.43,3.401615
3.46,3.401615
3.79,3.401615
3.02,3.401615
3.92,3.401615
3.76,3.401615
3.69,3.401615
3.28,3.401615
3.62,3.401615
3.17,3.401615
2.76,3.401615
3.3,3.401615
3.73,3.401615
3.29,3.401615
3.07,3.401615
3.64,3.401615
3.24,3.401615
3.14,3.401615
3.87,3.401615
3.88,3.401615
3.3,3.401615
3.73,3.401615
2.97,3.401615
3.4,3.401615
2.78,3.401615
3.89,3.401615
3.57,3.401615
3.58,3.401615
2.4,3.401615
3.38,3.401615
3.5,3.401615
3.9,3.401615
3.44,3.401615
2.7,3.401615
2.9,3.401615
3.29,3.401615
3.75,3.401615
3.0,3.401615
2.46,3.401615
3.0,3.401615
3.82,3.401615
2.78,3.401615
2.89,3.401615
3.14,3.401615
3.73,3.401615
3.94,3.401615
2.88,3.401615
3.33,3.401615
3.79,3.401615
3.56,3.401615
3.48,3.401615
3.26,3.401615
3.76,3.401615
3.65,3.401615
2.88,3.401615
3.81,3.401615
3.46,3.401615
3.67,3.401615
3.89,3.401615
3.82,3.401615
3.87,3.401615
2.63,3.401615
3.58,3.401615
2.57,3.401615
3.44,3.401615
2.41,3.401615
3.81,3.401615
3.49,3.401615
3.3,3.401615
3.76,3.401615
3.93,3.401615
3.55,3.401615
3.62,3.401615
2.83,3.401615
3.55,3.401615
3.65,3.401615
3.86,3.401615
3.39,3.401615
2.91,3.401615
3.57,3.401615
2.81,3.401615
3.82,3.401615
3.96,3.401615
3.07,3.401615
3.77,3.401615
3.71,3.401615
3.9,3.401615
3.83,3.401615
2.59,3.401615
3.33,3.401615
3.01,3.401615
3.64,3.401615
3.46,3.401615
3.49,3.401615
3.75,3.401615
3.01,3.401615
3.21,3.401615
3.8,3.401615
2.95,3.401615
3.8,3.401615
3.26,3.401615
2.87,3.401615
2.6,3.401615
3.29,3.401615
3.92,3.401615
3.74,3.401615
3.35,3.401615
3.09,3.401615
3.41,3.401615
3.71,3.401615
3.53,3.401615
3.61,3.401615
2.76,3.401615
3.85,3.401615
2.82,3.401615
3.91,3.401615
3.04,3.401615
3.83,3.401615
3.24,3.401615
3.87,3.401615
3.21,3.401615
3.42,3.401615
3.75,3.401615
3.71,3.401615
2.93,3.401615
2.95,3.401615
3.81,3.401615
3.24,3.401615
3.21,3.401615
3.72,3.401615
3.19,3.401615
3.58,3.401615
3.16,3.401615
3.19,3.401615
3.25,3.401615
3.73,3.401615
3.65,3.401615
3.59,3.401615
3.35,3.401615
3.57,3.401615
2.51,3.401615
3.49,3.401615
3.4,3.401615
3.07,3.401615
3.04,3.401615
3.51,3.401615
3.5,3.401615
3.6,3.401615
3.45,3.401615
3.24,3.401615
3.53,3.401615
3.78,3.401615
3.48,3.401615
3.95,3.401615
2.84,3.401615
3.14,3.401615
3.57,3.401615
3.93,3.401615
3.61,3.401615
3.44,3.401615
3.56,3.401615
3.94,3.401615
2.97,3.401615
2.38,3.401615
3.32,3.401615
3.07,3.401615
3.71,3.401615
2.39,3.401615
3.56,3.401615
3.32,3.401615
3.84,3.401615
3.3,3.401615
2.93,3.401615
2.75,3.401615
3.76,3.401615
3.36,3.401615
2.86,3.401615
3.48,3.401615
2.6,3.401615
3.47,3.401615
3.64,3.401615
3.06,3.401615
3.11,3.401615
2.88,3.401615
3.39,3.401615
3.97,3.401615
3.31,3.401615
3.39,3.401615
3.95,3.401615
3.73,3.401615
3.44,3.401615
3.35,3.401615
3.87,3.401615
3.55,3.401615
2.97,3.401615
3.1,3.401615
3.58,3.401615
3.3,3.401615
3.08,3.401615
3.14,3.401615
3.37,3.401615
3.93,3.401615
3.75,3.401615
3.19,3.401615
3.7,3.401615
2.91,3.401615
3.02,3.401615
3.82,3.401615
3.96,3.401615
3.4,3.401615
3.26,3.401615
3.22,3.401615
3.9,3.401615
3.63,3.401615
3.46,3.401615
3.25,3.401615
3.74,3.401615
3.19,3.401615
3.12,3.401615
2.54,3.401615
3.92,3.401615
3.71,3.401615
2.66,3.401615
3.64,3.401615
3.44,3.401615
3.43,3.401615
3.29,3.401615
3.05,3.401615
3.75,3.401615
3.91,3.401615
3.87,3.401615
3.26,3.401615
3.32,3.401615
3.55,3.401615
3.76,3.401615
3.41,3.401615
2.94,3.401615
3.62,3.401615
3.47,3.401615
3.09,3.401615
2.88,3.401615
3.53,3.401615
3.6,3.401615
3.74,3.401615
3.38,3.401615
3.45,3.401615
3.39,3.401615
2.71,3.401615
3.31,3.401615
3.84,3.401615
3.33,3.401615
3.4,3.401615
3.84,3.401615
3.55,3.401615
3.45,3.401615
3.91,3.401615
3.72,3.401615
2.98,3.401615
3.04,3.401615
3.26,3.401615
3.7,3.401615
3.86,3.401615
3.07,3.401615
3.91,3.401615
2.87,3.401615
3.05,3.401615
2.94,3.401615
2.91,3.401615
3.7,3.401615
3.14,3.401615
3.69,3.401615
2.99,3.401615
3.68,3.401615
3.36,3.401615
3.64,3.401615
3.85,3.401615
3.34,3.401615
3.13,3.401615
3.33,3.401615
3.43,3.401615
3.53,3.401615
2.96,3.401615
3.35,3.401615
3.07,3.401615
3.51,3.401615
3.27,3.401615
3.54,3.401615
2.79,3.401615
1.87,3.401615
3.29,3.401615
3.44,3.401615
2.82,3.401615
2.27,3.401615
3.41,3.401615
3.3,3.401615
3.27,3.401615
2.96,3.401615
2.64,3.401615
3.11,3.401615
3.33,3.401615
3.89,3.401615
2.41,3.401615
3.18,3.401615
3.98,3.401615
2.72,3.401615
3.14,3.401615
3.67,3.401615
3.55,3.401615
3.14,3.401615
3.57,3.401615
2.27,3.401615
3.83,3.401615
3.09,3.401615
2.83,3.401615
3.61,3.401615
3.25,3.401615
3.96,3.401615
3.52,3.401615
3.2,3.401615
3.86,3.401615
3.57,3.401615
2.4,3.401615
2.53,3.401615
3.86,3.401615
3.39,3.401615
3.49,3.401615
2.74,3.401615
3.23,3.401615
3.81,3.401615
3.62,3.401615
3.52,3.401615
3.44,3.401615
3.48,3.401615
3.63,3.401615
3.51,3.401615
3.61,3.401615
3.95,3.401615
3.67,3.401615
2.72,3.401615
2.76,3.401615
3.51,3.401615
3.51,3.401615
3.08,3.401615
3.78,3.401615
3.47,3.401615
3.97,3.401615
3.71,3.401615
3.37,3.401615
3.64,3.401615
3.23,3.401615
3.15,3.401615
2.81,3.401615
3.81,3.401615
2.95,3.401615
3.75,3.401615
3.88,3.401615
3.43,3.401615
3.93,3.401615
3.64,3.401615
2.93,3.401615
3.16,3.401615
3.57,3.401615
3.44,3.401615
3.67,3.401615
3.59,3.401615
3.9,3.401615
3.28,3.401615
3.92,3.401615
3.59,3.401615
3.75,3.401615
3.79,3.401615
3.92,3.401615
3.69,3.401615
3.19,3.401615
3.68,3.401615
3.21,3.401615
3.4,3.401615
3.73,3.401615
3.28,3.401615
2.82,3.401615
3.8,3.401615
2.29,3.401615
3.14,3.401615
3.09,3.401615
3.28,3.401615
2.97,3.401615
3.48,3.401615
2.46,3.401615
3.97,3.401615
3.8,3.401615
3.26,3.401615
3.55,3.401615
3.06,3.401615
2.66,3.401615
3.32,3.401615
3.24,3.401615
3.54,3.401615
3.85,3.401615
3.18,3.401615
3.79,3.401615
3.23,3.401615
3.96,3.401615
2.94,3.401615
3.67,3.401615
3.44,3.401615
2.87,3.401615
2.79,3.401615
3.55,3.401615
3.0,3.401615
3.74,3.401615
3.75,3.401615
2.61,3.401615
2.99,3.401615
3.89,3.401615
3.35,3.401615
2.86,3.401615
3.08,3.401615
3.22,3.401615
3.88,3.401615
3.26,3.401615
3.53,3.401615
2.84,3.401615
3.35,3.401615
2.48,3.401615
3.95,3.401615
3.5,3.401615
3.34,3.401615
2.26,3.401615
3.68,3.401615
3.36,3.401615
3.43,3.401615
3.74,3.401615
3.49,3.401615
3.48,3.401615
3.48,3.401615
1.81,3.401615
2.96,3.401615
3.96,3.401615
2.2,3.401615
2.62,3.401615
2.98,3.401615
2.95,3.401615
3.4,3.401615
3.32,3.401615
2.83,3.401615
2.61,3.401615
3.47,3.401615
3.25,3.401615
3.73,3.401615
3.51,3.401615
3.33,3.401615
3.43,3.401615
2.81,3.401615
2.84,3.401615
3.85,3.401615
3.51,3.401615
3.12,3.401615
2.91,3.401615
2.88,3.401615
3.93,3.401615
3.75,3.401615
3.45,3.401615
3.46,3.401615
2.57,3.401615
2.9,3.401615
3.92,3.401615
2.94,3.401615
3.64,3.401615
2.41,3.401615
3.64,3.401615
3.98,3.401615
3.97,3.401615
3.59,3.401615
2.49,3.401615
3.72,3.401615
3.63,3.401615
3.81,3.401615
2.71,3.401615
2.63,3.401615
3.1,3.401615
3.0,3.401615
2.79,3.401615
3.67,3.401615
3.76,3.401615
2.91,3.401615
3.19,3.401615
3.24,3.401615
3.78,3.401615
3.2,3.401615
3.24,3.401615
3.93,3.401615
3.54,3.401615
3.77,3.401615
3.78,3.401615
3.44,3.401615
3.14,3.401615
3.38,3.401615
3.31,3.401615
3.52,3.401615
3.13,3.401615
2.56,3.401615
3.22,3.401615
3.46,3.401615
3.68,3.401615
3.06,3.401615
3.32,3.401615
3.84,3.401615
3.87,3.401615
3.66,3.401615
3.53,3.401615
3.45,3.401615
3.73,3.401615
3.41,3.401615
3.22,3.401615
3.66,3.401615
3.32,3.401615
3.62,3.401615
3.22,3.401615
3.74,3.401615
3.19,3.401615
3.92,3.401615
3.25,3.401615
3.25,3.401615
3.25,3.401615
3.47,3.401615
3.43,3.401615
3.49,3.401615
3.23,3.401615
3.21,3.401615
3.62,3.401615
3.01,3.401615
3.85,3.401615
3.98,3.401615
3.83,3.401615
3.21,3.401615
3.46,3.401615
3.32,3.401615
3.41,3.401615
3.11,3.401615
3.92,3.401615
2.79,3.401615
3.77,3.401615
3.89,3.401615
3.38,3.401615
3.27,3.401615
2.53,3.401615
3.87,3.401615
2.98,3.401615
3.23,3.401615
3.38,3.401615
3.83,3.401615
3.52,3.401615
3.06,3.401615
3.85,3.401615
3.15,3.401615
2.78,3.401615
3.86,3.401615
3.6,3.401615
2.88,3.401615
3.12,3.401615
3.15,3.401615
3.27,3.401615
3.32,3.401615
3.33,3.401615
3.26,3.401615
3.52,3.401615
3.64,3.401615
3.42,3.401615
3.54,3.401615
3.57,3.401615
3.35,3.401615
2.9,3.401615
3.82,3.401615
3.17,3.401615
2.81,3.401615
3.33,3.401615
3.16,3.401615
3.59,3.401615
3.67,3.401615
2.41,3.401615
3.01,3.401615
3.41,3.401615
3.91,3.401615
3.96,3.401615
3.76,3.401615
2.71,3.401615
3.5,3.401615
3.91,3.401615
3.0,3.401615
3.54,3.401615
3.61,3.401615
3.55,3.401615
3.1,3.401615
3.57,3.401615
3.35,3.401615
3.96,3.401615
2.77,3.401615
3.17,3.401615
2.8,3.401615
3.71,3.401615
3.43,3.401615
3.64,3.401615
3.59,3.401615
3.22,3.401615
3.03,3.401615
3.03,3.401615
3.64,3.401615
2.98,3.401615
2.9,3.401615
3.52,3.401615
3.87,3.401615
3.64,3.401615
3.93,3.401615
3.44,3.401615
3.74,3.401615
3.49,3.401615
3.48,3.401615
3.27,3.401615
3.49,3.401615
2.54,3.401615
2.84,3.401615
3.91,3.401615
3.74,3.401615
3.56,3.401615
3.43,3.401615
3.38,3.401615
3.4,3.401615
2.91,3.401615
3.76,3.401615
2.9,3.401615
3.87,3.401615
3.63,3.401615
3.28,3.401615
3.61,3.401615
3.23,3.401615
3.83,3.401615
2.97,3.401615
2.52,3.401615
3.78,3.401615
3.2,3.401615
3.48,3.401615
3.58,3.401615
3.68,3.401615
2.77,3.401615
3.78,3.401615
3.33,3.401615
3.47,3.401615
3.41,3.401615
3.93,3.401615
3.44,3.401615
2.78,3.401615
3.47,3.401615
3.76,3.401615
2.78,3.401615
3.72,3.401615
3.72,3.401615
3.88,3.401615
2.6,3.401615
3.06,3.401615
3.09,3.401615
3.28,3.401615
3.38,3.401615
3.06,3.401615
3.82,3.401615
3.82,3.401615
3.43,3.401615
3.47,3.401615
3.06,3.401615
3.68,3.401615
2.48,3.401615
3.93,3.401615
2.8,3.401615
3.27,3.401615
3.01,3.401615
3.82,3.401615
3.66,3.401615
3.82,3.401615
3.69,3.401615
3.53,3.401615
3.87,3.401615
2.66,3.401615
3.97,3.401615
3.51,3.401615
3.85,3.401615
3.79,3.401615
3.34,3.401615
3.64,3.401615
3.72,3.401615
3.77,3.401615
3.28,3.401615
3.49,3.401615
3.67,3.401615
2.82,3.401615
3.22,3.401615
3.54,3.401615
3.5,3.401615
2.49,3.401615
3.76,3.401615
2.99,3.401615
3.31,3.401615
3.0,3.401615
3.45,3.401615
3.71,3.401615
2.66,3.401615
3.96,3.401615
3.58,3.401615
3.65,3.401615
3.18,3.401615
3.4,3.401615
3.9,3.401615
3.57,3.401615
3.35,3.401615
2.98,3.401615
3.19,3.401615
3.16,3.401615
3.32,3.401615
3.56,3.401615
3.65,3.401615
2.19,3.401615
3.39,3.401615
3.71,3.401615
3.52,3.401615
2.96,3.401615
3.73,3.401615
3.36,3.401615
3.33,3.401615
3.29,3.401615
3.74,3.401615
3.53,3.401615
3.62,3.401615
2.91,3.401615
3.58,3.401615
2.94,3.401615
3.4,3.401615
3.33,3.401615
3.46,3.401615
2.91,3.401615
2.6,3.401615
3.61,3.401615
2.7,3.401615
2.67,3.401615
3.56,3.401615
3.23,3.401615
3.15,3.401615
3.79,3.401615
3.68,3.401615
3.53,3.401615
3.87,3.401615
3.7,3.401615
2.63,3.401615
3.35,3.401615
3.85,3.401615
3.68,3.401615
3.54,3.401615
3.4,3.401615
2.91,3.401615
3.42,3.401615
3.55,3.401615
3.41,3.401615
3.58,3.401615
3.18,3.401615
3.57,3.401615
2.56,3.401615
2.63,3.401615
3.45,3.401615
3.91,3.401615
2.47,3.401615
3.0,3.401615
3.74,3.401615
3.4,3.401615
3.26,3.401615
3.8,3.401615
3.87,3.401615
3.31,3.401615
2.66,3.401615
3.2,3.401615
3.04,3.401615
3.95,3.401615
3.49,3.401615
3.56,3.401615
3.73,3.401615
3.54,3.401615
3.52,3.401615
3.15,3.401615
3.77,3.401615
3.83,3.401615
3.32,3.401615
3.3,3.401615
3.12,3.401615
3.61,3.401615
2.55,3.401615
2.15,3.401615
2.91,3.401615
3.61,3.401615
2.99,3.401615
3.23,3.401615
3.89,3.401615
2.74,3.401615
3.35,3.401615
3.01,3.401615
3.44,3.401615
3.42,3.401615
3.01,3.401615
2.69,3.401615
3.51,3.401615
3.23,3.401615
3.81,3.401615
3.16,3.401615
3.16,3.401615
3.61,3.401615
3.65,3.401615
3.48,3.401615
2.99,3.401615
3.36,3.401615
2.62,3.401615
3.79,3.401615
3.36,3.401615
2.84,3.401615
2.7,3.401615
3.77,3.401615
3.03,3.401615
3.31,3.401615
3.29,3.401615
2.96,3.401615
3.64,3.401615
3.09,3.401615
3.22,3.401615
3.61,3.401615
3.26,3.401615
2.89,3.401615
2.94,3.401615
3.71,3.401615
3.81,3.401615
3.48,3.401615
2.97,3.401615
3.88,3.401615
3.85,3.401615
3.52,3.401615
3.78,3.401615
3.4,3.401615
3.68,3.401615
3.49,3.401615
3.04,3.401615
3.62,3.401615
2.53,3.401615
3.45,3.401615
3.07,3.401615
2.72,3.401615
3.63,3.401615
2.92,3.401615
3.89,3.401615
2.52,3.401615
2.75,3.401615
3.41,3.401615
3.1,3.401615
2.9,3.401615
3.58,3.401615
2.97,3.401615
3.66,3.401615
3.19,3.401615
3.62,3.401615
3.38,3.401615
2.91,3.401615
3.4,3.401615
3.79,3.401615
2.99,3.401615
2.8,3.401615
3.29,3.401615
3.17,3.401615
3.71,3.401615
3.58,3.401615
2.77,3.401615
3.69,3.401615
3.28,3.401615
3.25,3.401615
3.8,3.401615
2.97,3.401615
3.8,3.401615
3.38,3.401615
3.55,3.401615
2.84,3.401615
3.05,3.401615
3.37,3.401615
3.39,3.401615
3.47,3.401615
3.9,3.401615
3.05,3.401615
2.73,3.401615
3.24,3.401615
3.65,3.401615
3.23,3.401615
3.85,3.401615
3.63,3.401615
3.77,3.401615
3.8,3.401615
2.83,3.401615
3.11,3.401615
3.88,3.401615
3.62,3.401615
3.1,3.401615
3.12,3.401615
3.82,3.401615
3.51,3.401615
2.64,3.401615
2.69,3.401615
3.4,3.401615
3.48,3.401615
3.46,3.401615
3.86,3.401615
3.58,3.401615
3.52,3.401615
3.65,3.401615
3.5,3.401615
3.85,3.401615
3.32,3.401615
2.71,3.401615
3.6,3.401615
3.26,3.401615
3.7,3.401615
3.54,3.401615
3.77,3.401615
2.74,3.401615
3.94,3.401615
3.53,3.401615
3.84,3.401615
3.21,3.401615
3.84,3.401615
3.74,3.401615
2.93,3.401615
3.37,3.401615
3.06,3.401615
3.46,3.401615
2.65,3.401615
3.39,3.401615
3.51,3.401615
3.23,3.401615
3.54,3.401615
3.34,3.401615
3.24,3.401615
3.31,3.401615
3.31,3.401615
3.93,3.401615
3.36,3.401615
3.1,3.401615
3.69,3.401615
3.63,3.401615
3.62,3.401615
3.4,3.401615
3.77,3.401615
3.43,3.401615
3.5,3.401615
2.66,3.401615
3.85,3.401615
2.72,3.401615
3.91,3.401615
3.32,3.401615
2.61,3.401615
3.51,3.401615
3.08,3.401615
2.58,3.401615
3.47,3.401615
3.4,3.401615
3.34,3.401615
3.36,3.401615
3.62,3.401615
3.83,3.401615
3.54,3.401615
3.22,3.401615
3.36,3.401615
3.37,3.401615
3.83,3.401615
3.94,3.401615
3.47,3.401615
3.44,3.401615
3.73,3.401615
3.92,3.401615
3.28,3.401615
3.44,3.401615
3.1,3.401615
3.44,3.401615
3.5,3.401615
3.35,3.401615
3.17,3.401615
3.86,3.401615
3.64,3.401615
3.55,3.401615
3.45,3.401615
3.39,3.401615
3.34,3.401615
3.22,3.401615
3.19,3.401615
3.42,3.401615
3.55,3.401615
2.67,3.401615
2.78,3.401615
3.16,3.401615
3.67,3.401615
3.65,3.401615
2.74,3.401615
3.14,3.401615
3.58,3.401615
3.45,3.401615
3.62,3.401615
3.14,3.401615
3.18,3.401615
3.41,3.401615
3.97,3.401615
3.35,3.401615
2.67,3.401615
3.8,3.401615
3.77,3.401615
3.78,3.401615
3.26,3.401615
3.9,3.401615
3.07,3.401615
3.33,3.401615
3.82,3.401615
3.34,3.401615
3.77,3.401615
3.8,3.401615
3.62,3.401615
3.24,3.401615
2.81,3.401615
2.67,3.401615
3.44,3.401615
3.58,3.401615
3.23,3.401615
3.82,3.401615
3.41,3.401615
3.86,3.401615
3.09,3.401615
3.06,3.401615
3.44,3.401615
3.3,3.401615
2.91,3.401615
3.38,3.401615
3.77,3.401615
2.53,3.401615
3.03,3.401615
3.23,3.401615
3.61,3.401615
3.6,3.401615
3.93,3.401615
3.57,3.401615
3.34,3.401615
3.0,3.401615
3.93,3.401615
3.67,3.401615
3.83,3.401615
3.47,3.401615
3.89,3.401615
2.0,3.401615
3.53,3.401615
3.9,3.401615
3.41,3.401615
2.91,3.401615
2.82,3.401615
2.52,3.401615
2.72,3.401615
3.3,3.401615
3.46,3.401615
3.85,3.401615
3.75,3.401615
2.74,3.401615
3.42,3.401615
2.95,3.401615
3.14,3.401615
2.79,3.401615
3.64,3.401615
3.38,3.401615
2.78,3.401615
3.15,3.401615
2.7,3.401615
3.4,3.401615
3.27,3.401615
2.97,3.401615
3.24,3.401615
3.02,3.401615
3.01,3.401615
2.98,3.401615
3.07,3.401615
3.36,3.401615
3.49,3.401615
3.27,3.401615
3.05,3.401615
3.89,3.401615
3.78,3.401615
3.46,3.401615
3.28,3.401615
3.88,3.401615
3.19,3.401615
3.74,3.401615
3.51,3.401615
3.86,3.401615
3.76,3.401615
3.39,3.401615
3.28,3.401615
3.28,3.401615
3.59,3.401615
3.4,3.401615
2.87,3.401615
3.64,3.401615
3.02,3.401615
2.91,3.401615
2.84,3.401615
2.88,3.401615
3.74,3.401615
2.77,3.401615
3.29,3.401615
3.45,3.401615
3.29,3.401615
3.66,3.401615
3.37,3.401615
3.04,3.401615
2.99,3.401615
3.75,3.401615
3.78,3.401615
3.1,3.401615
2.89,3.401615
3.18,3.401615
3.42,3.401615
3.91,3.401615
2.76,3.401615
3.65,3.401615
